"","mtry","min.node.size","sample.fraction","mse","exec.time"
"1",29,105,0.616398395171079,990161510.247939,1.43000000000001
"2",64,4,0.792697319971242,641308782.716493,12.6
"3",23,23,0.703304798517687,649633699.246913,2.12
"4",27,16,0.309949740987116,728052720.897261,1.38999999999999
"5",70,241,0.846619873285914,1403299555.72254,2.36000000000001
"6",16,11,0.528932362222113,640739400.014938,1.70999999999998
"7",45,56,0.684240117962472,843568097.667548,2.44999999999999
"8",63,7,0.474619959255215,652193026.97984,5.14000000000004
"9",54,84,0.440943108455588,1036064924.82089,1.52999999999997
"10",30,119,0.240368275206226,1481405791.96238,0.629999999999995
"11",10,3,0.577932739097159,611254540.897786,2.00999999999999
"12",42,6,0.713770611473204,596681911.110954,5.91000000000003
"13",73,35,0.404204974391808,872748076.527924,2.64999999999998
"14",5,417,0.553201517013367,1979928569.68123,0.410000000000025
"15",50,196,0.772618349631472,1164558398.24874,1.77999999999997
"16",57,28,0.810768902747271,703690218.342005,4.81
"17",39,2,0.268083573133529,678091286.750916,3.02000000000004
"18",1,5,0.215339520004733,1809620685.38909,0.46999999999997
"19",35,70,0.50843557242925,934733113.810734,1.38999999999999
"20",33,5,0.499969239595812,621482527.772564,3.53000000000003
"21",45,14,0.27158978854306,740630166.517783,1.76999999999998
"22",74,322,0.664897306764033,1919642103.40587,1.65000000000003
"23",18,10,0.742835139740103,586604151.941129,2.56999999999999
"24",68,19,0.640648549014392,697920790.392431,5.22999999999996
"25",7,44,0.414475525921055,951660255.541837,1
"26",21,163,0.869257696523952,1021625161.75139,1.19
"27",78,3,0.325958791067048,708522352.899445,5.78000000000003
"28",13,2,0.386333792357861,641636732.526526,2.00999999999999
"29",60,2,0.896178938751885,629125935.840745,14.44
"30",53,258,0.361997612672858,1715995126.01346,0.850000000000023
"31",36,2,0.637408657362,597527067.021061,6.5
"32",51,2,0.402804424154941,661119203.983696,5.61000000000001
"33",19,2,0.88325354741659,557813411.382017,5.46999999999997
"34",23,2,0.756069919114348,562932377.113263,5.60999999999996
"35",49,10,0.898761404158603,627966728.284662,6.87
"36",16,2,0.634178893855573,585582137.661144,3.42000000000002
"37",27,2,0.602330193845167,595299307.14534,4.85999999999996
"38",9,2,0.853932009453179,585010924.065119,3.04999999999995
"39",35,3,0.837398429946696,572222910.462618,7.51999999999998
"40",34,2,0.348992422414405,655426445.231632,3.46999999999997
"41",15,2,0.781636386917844,551929817.047724,3.90999999999997
"42",13,2,0.886606695136032,564195937.038691,4
"43",14,2,0.755582299211043,569773295.172455,3.74000000000001
"44",37,14,0.782838183908502,615509030.186662,4.24000000000001
"45",21,2,0.447900992593883,622726982.647788,3.06
"46",47,16,0.462106900923439,696356878.229106,3.11000000000001
"47",31,2,0.899397989919762,549010123.333601,8.06
"48",23,5,0.780275173863342,568918946.1092,4.11000000000001
"49",27,8,0.889849043099783,584889517.762854,4.5
"50",71,2,0.898117729370688,719933356.668634,16.7
"51",22,2,0.897720465287993,559562869.928759,6.02000000000004
"52",65,3,0.286467051740425,701167033.758294,4.34000000000003
"53",41,2,0.899850293494528,597961384.569287,10.1900000000001
"54",29,2,0.816299145241199,559066766.184931,7.13
"55",31,6,0.778635916354575,573666085.470632,4.8599999999999
"56",56,6,0.650553464340628,619012755.645966,6.74000000000001
"57",28,2,0.868588652867095,568969972.086256,7.05000000000007
"58",28,3,0.891528474973909,558401974.109256,6.35000000000002
"59",15,2,0.801489879823157,552677811.589506,4.04999999999995
"60",40,5,0.403686542170277,648204547.523816,3.37
