"Parameter","Value","MSE","runtime_prediction","runtime_training"
"num.trees",2,1190989951.96305,0.0100000000002183,0.0300000000002001
"num.trees",4,800796391.772862,0.0199999999999818,0.0299999999997453
"num.trees",8,653574458.684104,0.0199999999999818,0.0500000000001819
"num.trees",16,547885632.455909,0.0199999999999818,0.0399999999999636
"num.trees",32,564514032.125515,0.0299999999997453,0.0399999999999636
"num.trees",64,547457310.732999,0.0199999999999818,0.0799999999999272
"num.trees",128,562477060.793688,0.0299999999997453,0.119999999999891
"num.trees",256,566977847.822831,0.0300000000002001,0.239999999999782
"num.trees",512,565126492.970549,0.0300000000002001,0.470000000000255
"num.trees",1024,552590487.026855,0.0900000000001455,1.03999999999996
"num.trees",2048,546230037.09437,0.139999999999873,1.90999999999985
"mtry",2,709539229.276321,0.0399999999999636,0.190000000000055
"mtry",5,552828345.243546,0.0500000000001819,0.349999999999909
"mtry",10,541833841.554532,0.0500000000001819,0.480000000000018
"mtry",20,536958618.170063,0.0300000000002001,0.839999999999691
"mtry",23,549427996.822937,0.0500000000001819,0.900000000000091
"mtry",26,559135286.802924,0.0399999999999636,1.01999999999998
"mtry",28,564586453.997843,0.0499999999997272,1.07999999999993
"mtry",30,559411626.164512,0.0300000000002001,1.11999999999989
"mtry",40,580308907.34205,0.0300000000002001,1.43000000000029
"mtry",60,578267760.298285,0.0500000000001819,2.02999999999975
"sample.fraction",0.1,756679108.523404,0.0399999999999636,0.110000000000127
"sample.fraction",0.2,680945812.895493,0.0299999999997453,0.150000000000091
"sample.fraction",0.3,651458844.443188,0.0300000000002001,0.170000000000073
"sample.fraction",0.4,622443948.136055,0.0299999999997453,0.239999999999782
"sample.fraction",0.5,598473127.682513,0.0300000000002001,0.260000000000218
"sample.fraction",0.6,581423219.469022,0.0299999999997453,0.329999999999927
"sample.fraction",0.7,557042872.03151,0.0399999999999636,0.329999999999927
"sample.fraction",0.8,567188453.999335,0.0500000000001819,0.349999999999909
"sample.fraction",0.9,544979715.071427,0.0500000000001819,0.390000000000327
"sample.fraction",1,567143037.297996,0.0500000000001819,0.399999999999636
"min.bucket",1,567143037.297996,0.0300000000002001,0.440000000000055
"min.bucket",6,611969853.472238,0.0299999999997453,0.260000000000218
"min.bucket",11,657934348.176091,0.0300000000002001,0.2199999999998
"min.bucket",16,697717666.226112,0.0300000000002001,0.180000000000291
"min.bucket",21,725555016.742764,0.0500000000001819,0.190000000000055
"min.bucket",26,750761160.171308,0.0300000000002001,0.149999999999636
"min.bucket",31,776927199.029291,0.0100000000002183,0.160000000000309
"min.bucket",36,800960384.562462,0.0399999999999636,0.159999999999854
"min.bucket",41,821995918.706083,0.0300000000002001,0.179999999999836
"min.bucket",46,837191352.019986,0.0299999999997453,0.130000000000109
"replace",1,567143037.297996,0.0500000000001819,0.460000000000036
"replace",0,526702116.435184,0.0499999999997272,0.299999999999727
